센터명,지역,분소이름,우편번호,주소,1388 상담전화,행정전화,팩스,홈페이지
금산군청소년상담복지센터,충남,,32726,충청남도 금산군 금산읍 금산로1559 다락원 만남의 집 3층,041-751-2007,041-751-1383,041-754-1386,www.gs1388.or.kr
논산시청소년상담복지센터,충남,,32993,충청남도 논산시 논산대로 424 논산시청소년수련관 1층,041-736-2041,041-730-6041,041-736-2042,https://www.nsyouth.or.kr/kr/html/sub05/050101.html
당진시청소년상담복지센터,충남,,31772,충청남도 당진시 무수동 7길 142-26,041-357-2000,041-360-6963,041-357-2088,https://www.dangjin.go.kr/dj1388/sub01_00.do
보령시청소년상담복지센터,충남,,33466,충청남도 보령시 문화원길 9 보령시청소년문화의집 3층,041-936-5710,041-936-3893,041-936-5747,http://www.dongmuya.or.kr/center/s01.html
부여군청소년상담복지센터,충남,,33149,충청남도 부여군 부여읍 의열로 43,041-836-1898,041-837-1898,041-834-9588,www.1388buyeo.or.kr/
서산시청소년상담복지센터,충남,,31967,충청남도 서산시 서령로136 서산문화복지센터 청소년수련관 3층,041-669-2000,041-669-2000,041-681-2000,www.haemaum.com
서천군청소년상담복지센터,충남,,33644,충청남도 서천군 서천읍 서천향교길 3 2층,041-953-4040,041-953-9799,041-952-8765,www.sycw1388.co.kr
아산시청소년상담복지센터,충남,,31513,충청남도 아산시 시장길 29 시민문화복지센터 303호,041-532-2000,041-541-0039,041-541-0073,http://www.asanyouth.or.kr
예산군청소년상담복지센터,충남,,32423,충청남도 예산군 예산읍 벚꽃로 214-17 예산군청소년수련관 2층,041-335-1388,041-335-5700,041-335-5701,http://www.yesanyouth.or.kr/main_sub/sub.php?folder_idx=7&folder_page_idx=31
청양군청소년상담복지센터,충남,,33339,충청남도 청양군 청양읍 문화예술로 187-1 청소년문화의집 3층,041-942-1388,041-942-1388,041-940-1099,https://1388.청양군청소년재단.com/
태안군청소년상담복지센터,충남,,32140,충청남도 태안군 태안읍 백화로 199 청소년수련관 1층,041-674-2800,041-674-2800,041-674-2803,www.happy1388.or.kr
홍성군청소년상담복지센터,충남,,32293,충청남도 홍성군 광천읍 홍남로 744번길 14,041-634-4858,041-632-4859,041-634-4857,www.hssd1388.com
계룡시청소년상담복지센터,충남,,32829,충청남도 계룡시 엄사면 문화1로 13 계룡문화예술의전당 3층,042-551-1318,042-841-0343,042-841-0342,http://www.call1388.or.kr
천안시청소년상담복지센터,충남,,31129,충청남도 천안시 동남구 은행길 15-1 도시창조두드림센터 4층,041-622-1388,041-523-1318,041-551-1318,www.cheonan.go.kr/teen.do
전라북도청소년상담복지센터,전북,,54935,전라북도 전주시 덕진구 팔달로 346,063-276-6291,063-274-1388,063-273-1413,www.jb1388.kr
전주시청소년상담복지센터,전북,,55081,전라북도 전주시 완산구 용머리로 94 3층,063-236-1388,063-227-1005,063-236-1389,http://www.jjsangdam.or.kr/
군산시청소년상담복지센터,전북,,54121,전라북도 군산시 동리2길 7,063-466-1388,063-468-2870,063-468-2872,www.gunsan0924.or.kr
익산시청소년상담복지센터,전북,,54620,전라북도 익산시 인북로187 상공회의소 5층,063-852-1388,063-853-1388,063-856-1388,http://iksan.go.kr/1388
정읍시청소년상담복지센터,전북,,56190,전라북도 정읍시 상동중앙로14 청소년문화체육관 3층,063-531-3000,063-536-1388,063-531-3003,https://www.jeongeup.go.kr/index.jeongeup?menuCd=DOM_000000103005005002
남원시청소년상담복지센터,전북,,55749,전라북도 남원시 충정로 72 남원시청소년수련관 3층,063-635-1388,063-633-1977,063-633-1955,www.nw1388.com
김제시청소년상담복지센터,전북,,54368,전라북도 김제시 도작로 224-32,063-544-1377,063-545-0112,063-542-7773,http://youth.gimje.go.kr
진안군청소년상담복지센터,전북,,55432,전라북도 진안군 진안읍 진무로 1054-14 청소년수련관 3층,063-433-2377,063-430-8073,063-433-0017,www.ja1388.com
완주군청소년상담복지센터,전북,,55340,전라북도 완주군 삼례읍 삼봉로125 완주군청소년수련관 2층,063-291-7373,063-291-3303,063-291-5112,http://www.wanju1388.or.kr
무주군청소년상담복지센터,전북,,55514,전라북도 전라북도 무주군 무주읍 한풍루로 326-34 3층,063-323-7717,063-324-6688,063-324-6680,https://cafe.daum.net/mj1388
장수군청소년상담복지센터,전북,,55631,전라북도 장수군 장수읍 신천로 81 여성청소년문화센터 1층,063-351-5161,063-351-2000,063-351-4431,https://www.facebook.com/%EC%9E%A5%EC%88%98%EA%B5%B0%EC%B2%AD%EC%86%8C%EB%85%84%EC%83%81%EB%8B%B4%EB%B3%B5%EC%A7%80%EC%84%BC%ED%84%B0-1605161036462040
임실군청소년상담복지센터,전북,,55927,전라북도 임실군 임실읍 운수로 33-50 임실군청소년문화의집 2층,063-644-1388,063-640-3028,063-640-2128,https://cheongmoon.tistory.com/
순창군청소년상담복지센터,전북,,56047,전라북도 순창군 순창읍 장류로 192 순창군청소년수련관 3층,063-653-4646,063-652-1388,070-8220-3504,www.sc1388.or.kr
고창군청소년상담복지센터,전북,,56431,전라북도 고창군 고창읍 월곡뉴타운1길 11 커뮤니티센터 1층,063-563-6792,063-563-6793,063-563-6794,https://www.gochang.go.kr/index.gochang?menuCd=DOM_000000104001006000
부안군청소년상담복지센터,전북,,56305,전라북도 부안군 부안읍 당산로 81 2층,063-583-8772,063-580-4518,063-581-2446,https://www.facebook.com/%EB%B6%80%EC%95%88%EA%B5%B0%EC%B2%AD%EC%86%8C%EB%85%84%EC%83%81%EB%8B%B4%EB%B3%B5%EC%A7%80%EC%84%BC%ED%84%B0-523538797837858
전라남도청소년상담복지센터,전남,,58564,전라남도 무안군 삼향읍 남악리 어진누리길 30 전남여성가족재단 4층,061-280-9001,061-280-9005,061-280-9090,www.jnyouth.or.kr
나주시청소년상담복지센터,전남,,58254,전라남도 나주시 죽림길 34 2층,061-334-1388,061-333-1368,061-333-1367,www.nj1388.or.kr
목포시청소년상담복지센터,전남,,58684,"전라남도 목포시 신흥로 83번길 14 복지동 2층(옥암동, 목련아파트)",061-272-2440,061-272-2546,061-272-2547,youth.mokpo.go.kr
여수시청소년상담복지센터,전남,,59761,전라남도 여수시 신월로 648 전남대학교 국동캠퍼스 협동관 1층,061-663-2000,061-662-4646,061-662-4645,www.ys1388.or.kr
해남군청소년상담복지센터,전남,,59028,전라남도 해남군 해남읍 수성2길 9 2층,061-537-1388,061-537-1318,061-535-1317,http://www.hyouth1388.co.kr/
장흥군청소년상담복지센터,전남,,59327,전라남도 장흥군 장흥읍 흥성로37-23 2층,061-863-1318,061-863-1317,061-863-1399,http://www.jh1388.or.kr
진도군청소년상담복지센터,전남,,58927,전라남도 진도군 진도읍 진도대로 7195 진도여성플라자 2층,061-544-5122,061-540-3156,061-544-5102,http://cafe.naver.com/jindo1388
순천시청소년상담복지센터,전남,,57992,전라남도 순천시 명말 1길 57 3층,061-745-1388,061-749-4232,061-749-4710,www.sc1388dream.or.kr
완도군청소년상담복지센터,전남,,59115,전라남도 완도군 완도읍 개포로 159번길 41 2층,061-554-1314,061-555-1318,061-555-4201,http://wd1388.or.kr/
광양시청소년상담복지센터,전남,,57790,전라남도 광양시 광장로 14 청소년문화센터 2층,061-795-1388,061-795-7008,061-794-5505,www.gy1388.or.kr
영광군청소년상담복지센터,전남,,57047,"전라남도 영광군 영광읍 중앙로 3길 6-10,영광군청소년문화센터 2층",061-353-1388,061-353-9188,061-352-1389,www.yg1388.or.kr
화순군청소년상담복지센터,전남,,58114,전남 화순군 화순읍 광덕로 231 (화순군민종합문화센터 2층),061-375-7442,061-375-3774,061-375-7441,www.hs1388.or.kr
영암군청소년상담복지센터,전남,,58418,전라남도 영암군 영암로 1511 청소년수련관,061-471-8375,061-470-1004,061-470-2582,http://ya1388.or.kr/
고흥군청소년상담복지센터,전남,,59535,전라남도 고흥군 고흥읍 고흥로 1793 청소년문화의집 2층,061-834-1317,061-830-6652,061-834-1319,https://cafe.daum.net/HI1388
보성군청소년상담복지센터,전남,,59453,전라남도 보성군 보성읍 송재로 281-7 2층,061-853-1388,061-853-1381,061-853-1385,http://bs1388.co.kr
강진군청소년상담복지센터,전남,,59226,전라남도 강진군 강진읍 청렴길 1 청소년수련관 3층,061-432-1388,061-432-1387,061-433-1386,www.gjyouth.co.kr
담양군청소년상담복지센터,전남,,57344,"전라남도 담양군 담양읍 지침6길 29, 3층",061-381-1386,061-381-9845,061-381-1389,www.dyy1388.or.kr
무안군청소년상담복지센터,전남,,58517,전라남도 무안군 현경면 공항로 347-83,061-454-5284,061-450-5506,061-454-5282,https://www.muan.go.kr/www/information/welfare/child/youth_counsel
장성군청소년상담복지센터,전남,,57222,전라남도 장성군 장성읍 문화로 110 장성군청소년수련관 별관 1층,061-817-1388,061-393-1388,061-394-7179,www.js1388.or.kr
곡성군청소년상담복지센터,전남,,57504,전라남도 곡성군 옥과면 리문5길 11-5 옥과청소년문화의집 5층,061-363-9584,061-363-9586,061-884-8584,http://1388.gsyouth.kr/
곡성군청소년상담복지센터,전남,곡성분소,57535,전라남도 곡성군 곡성읍 곡성로 855 곡성청소년문화의집 2층,061-363-9584,061-363-9586,061-884-8584,http://1388.gsyouth.kr/
함평군청소년상담복지센터,전남,,57156,전라남도 함평군 함평읍 곤재로 36-33 군립도서관 3층,061-323-1324,061-323-9995,061-324-9996,http://www.nownow1388.or.kr
구례군청소년상담복지센터,전남,,57636,전라남도 구례군 구례로 508,061-783-1388,061-782-0882,061-782-0883,http://www.gr1388.kr/
신안군청소년상담복지센터,전남,,58824,전라남도 신안군 압해읍 천사로 1004 신안군청 보건소동 4층,061-240-8729,061-240-8703,061-240-8780,http://www.shinan1388.com/
경상북도청소년상담복지센터,경북,,36708,"경상북도 안동시 축제장길 20(옥야동, 398-22번)",054-850-1388,054-850-1000,054-853-3014,https://gb1388.or.kr:9027/
경산시청소년상담복지센터,경북,,38627,경상북도 경산시 서상길 75 2층,053-819-6488,053-819-6400,053-819-6499,http://gbgs.go.kr/special/young/index.do
경주시청소년상담복지센터,경북,,38088,경상북도 경주시 알천북로 131,054-742-1388,054-760-7740,054-742-1387,http://youth.gyeongju.go.kr/index.jsp
영주시청소년상담복지센터,경북,,36073,경상북도 영주시 광복로 63,054-634-1318,054-639-5865,054-634-1319,http://yj1318.or.kr
영천시청소년상담복지센터,경북,,38844,경상북도 영천시 운동장로 92 청소년수련관 2층,054-338-1388,054-338-2000,054-338-7942,https://www.yc.go.kr/depart/contents.do?mId=0605000000
포항시청소년상담복지센터,경북,,37601,경상북도 포항시 북구 삼호로 533 청소년수련관 2층,054-252-0020,054-240-9140,054-251-1388,http://www.phyf.or.kr
김천시청소년상담복지센터,경북,,39518,경북 김천시 문당길 142 김천시청소년문화의집 3층,054-435-1388,054-431-2009,054-431-2029,https://www.gc.go.kr/gcyouth/support/main.tc
구미시청소년상담복지센터,경북,,39221,경상북도 구미시 구미중앙로 11길 13,054-443-1387,054-472-2000,054-443-1390,www.youthcoc.org
문경시청소년상담복지센터,경북,,36949,경상북도 문경시 중앙로50 문경시의회 후관 문경시드림스타트 3층,054-556-1389,054-550-6600,054-550-6660,https://www.gbmg.go.kr/portalsub/teen1318/main.do
상주시청소년상담복지센터,경북,,37195,경상북도 상주시 왕산로 219-11번지 2층,054-535-3511,054-534-3511,054-534-3514,http://www.sj7942.org/
울진군청소년상담복지센터,경북,,36324,경상북도 울진군 울진읍 대나리항길 2 고우이청소년수련관 2층,054-781-0079,054-783-8284,054-789-5434,http://www.uljin.go.kr/young/index.uljin?menuCd=DOM_000001502000000000
청송군청소년상담복지센터,경북,,37433,경상북도 청송군 청송읍 복지타운길77 청소년수련관 2층 상담센터,054-870-6696,054-870-6696,054-874-4003,www.youth1388.or.kr
의성군청소년상담복지센터,경북,,37331,경상북도 의성군 의성읍 충효로 68,054-834-7933,054-830-6947,054-834-7833,http://counsel.usyouth.go.kr
칠곡군청소년상담복지센터,경북,,39885,경상북도 칠곡군 왜관읍 2번도로길 83 3층,054-971-0418,054-971-0419,054-971-0449,https://www.chilgok.go.kr/portal/contents.do?mId=0907070000
청도군청소년상담복지센터,경북,,38333,경상북도 청도군 화양읍 청려로 1846 청소년수련관 3층,054-373-1610,054-373-1611,054-373-1633,http://cd1388.or.kr/
예천군청소년상담복지센터,경북,,36708,경상북도 예천군 예천읍 충효로 393,054-654-9901,054-650-8237,054-654-9902,https://cafe.daum.net/yc2012
성주군청소년상담복지센터,경북,,40031,경상북도 성주군 성주읍 성주순환로 271-9 청소년문화의집 3층,054-931-1398,054-931-1397,054-931-1399,-
안동시청소년상담복지센터,경북,,36708,경상북도 안동시 축제장길 42번지 안동시청소년수련관 2층,054-859-1318,054-841-7933,054-841-7932,www.ad1318.or.kr
봉화군청소년상담복지센터,경북,,36238,경상북도 봉화군 봉화읍 내성로1길 17-20 봉화군청소년센터 2층,054-674-1388,054-673-1231,054-673-1241,www.bhw1318.or.kr
고령군청소년상담복지센터,경북,,40138,경상북도 고령군 대가야읍 왕릉로 30 대가야문화누리 4층,054-956-1383,054-956-1384,054-956-1305,https://www.goryeong.go.kr/art/contents.do?IDX=138
영덕군청소년상담복지센터,경북,,36427,경상북도 영덕군 영덕읍 강변길 324,054-732-1318,054-730-7371,054-730-6449,https://www.facebook.com/영덕군청소년상담복지센터-1037698109644498/
군위군청소년상담복지센터,경북,,39013,경상북도 군위군 군위읍 군청로 158 군위국민체육센터 3층,054-382-1388,070-4922-8001,054-382-1988,http://www.gunwi.go.kr/ko/page.do?mnu_uid=312&
영양군청소년상담복지센터,경북,,36540,경상북도 영양군 영양읍 동서대로 92. 영양군청소년수련관 2층,054-683-1388,054-683-1387,054-683-1386,www.yyg.go.kr/youth/yyg1388
경상남도청소년상담복지센터,경남,,51138,"경상남도 창원시 의창구 사림로 45번길 59 경남대표도서관 청소년관 3층, 4층",055-711-1388,055-711-1388,055-711-1398,http://gn1388.gnyouth.net/
창원시창원청소년상담복지센터,경남,,51412,경상남도 창원시 성산구 두대로97 3층 청소년상담복지센터,055-225-3900,055-225-3901,055-273-2012,https://www.changwon.go.kr/depart/contents.do?mId=0502010100
창원시마산청소년상담복지센터,경남,,51358,"창원시 마산회원구 팔용로128, 우리누리청소년문화센터 별관2층",055-245-7941,055-225-7295,055-245-7941,https://www.changwon.go.kr/depart/contents.do?mId=0502010100
진주시청소년상담복지센터,경남,,52686,경상남도 진주시 북장대로 6번길 9 (인사동) 1층,055-744-1128,055-749-6222,055-744-8485,https://www.jinju.go.kr/00134/00614/06444.web
창원시진해청소년상담복지센터,경남,,51629,경상남도 창원시 진해구 진해대로 1101 진해종합사회복지관 202호,055-551-2000,055-225-6812,055-547-5513,https://www.changwon.go.kr/depart/contents.do?mId=0502010100
통영시청소년상담복지센터,경남,,53017,통영시 광도면 죽림해안로 187 통영체육청소년센터 3층,055-649-0924,055-644-2000,055-648-7130,www.tycoun.or.kr
사천시청소년상담복지센터,경남,,52561,경상남도 사천시 문선4길 23 청소년수련관 3층,055-835-4199,055-832-7942,055-832-7959,https://youthsacheon.com/consulting_main.html
김해시청소년상담복지센터,경남,,50912,경상남도 김해시 가락로 176번길 3,055-325-2000,055-330-4635,055-328-6743,https://www.gimhae.go.kr/00976/01477/01479.web
김해서부청소년상담복지센터,경남,,51016,경상남도 김해시 율하2로 210 김해시서부문화센터 2층,055-330-7920,055-340-7181,055-311-5283,https://www.gimhae.go.kr/00976/01477/01479.web
밀양시청소년상담복지센터,경남,,50436,"경상남도 밀양시 삼문송림길 26, 밀양시청소년수련관 2층",055-355-2000,055-352-7942,055-352-7946,http://www.miryang1388.kr
거제시청소년상담복지센터,경남,,53246,"경상남도 거제시 중곡로 46, 고현청소년문화의 집 2층",055-636-2000,055-639-4981,055-639-4949,http://counsel.geoje.go.kr
양산시청소년상담복지센터,경남,,50620,경상남도 양산시 양주3길 36 양산시청소년회관 2층,055-381-9695,055-372-2000,055-388-3477,http://www.yangsan.go.kr/teen/main.do
양산시청소년상담복지센터,경남,웅상분소,50520,양산시 웅상대로 1009-2 웅상도서관 지하 1층,055-367-1318,055-392-6356,055-388-3477,http://yangsan.go.kr/teen
의령군청소년상담복지센터,경남,,52151,경상남도 의령군 의령읍 의령대로 1577-25,055-572-2000,055-570-4971,055-570-4971,-
함안군청소년상담복지센터,경남,,52046,경상남도 함안군 가야읍 말산 1길 10 청소년수련관 2층,055-583-0924,055-584-0924,055-583-0923,http://www.haman1388.or.kr/
창녕군청소년상담복지센터,경남,,50332,경상남도 창녕군 창녕읍 화왕산1로 46 5층,055-532-2000,055-533-4288,055-533-8677,https://www.cng.go.kr/life/cn1388.web
고성군청소년상담복지센터,경남,,52932,경상남도 고성군 고성읍 성내로61 고성군청소년상담복지센터 3층,055-673-6882,055-673-7942,055-673-2926,http://www.gsyon.or.kr/biz/welfare.php
남해군청소년상담복지센터,경남,,52419,경상남도 남해군 남해읍 망운로 32 종합사회복지관 3층,055-863-5279,055-860-3885,055-863-5278,https://www.namhae.go.kr/welfare/Index.do?c=WL0205010100
하동군청소년상담복지센터,경남,,52326,경상남도 하동군 하동읍 중앙로 72 2층,055-883-3000,055-880-6039,055-883-7554,https://www.hadong.go.kr/specialty/00214/00343.web
산청군청소년상담복지센터,경남,,52226,경상남도 산청군 산청읍 웅석봉로 92 산청군청소년수련관 2층,055-973-8423,055-970-6591,055-970-6889,https://www.sccl.ne.kr/welfare/contents.do?key=5188
함양군청소년상담복지센터,경남,,50034,경남 함양군 함양읍 함양여중길 10 2층,055-963-7922,055-960-5157,055-963-7934,https://www.hygn.go.kr/specialty/welfare/03067.web
거창군청소년상담복지센터,경남,,50130,경상남도 거창군 거창읍 교촌길 100-30 거창군청소년수련관 3층,055-941-2000,055-940-8860,055-940-3968,http://www.geochang.go.kr/youth/Index.do?c=YU0401000000
합천군청소년상담복지센터,경남,,50231,경상남도 합천군 합천읍 옥산로 96-5 3층,055-930-3911,055-930-3911,055-930-4289,http://www.hc.go.kr/05750/05766/05803.web
제주특별자치도청소년상담복지센터,제주,,63222,제주특별자치도 제주시 구남로 7길 4 2층,064-759-9951,064-759-9950,064-759-9953,www.jeju1388.or.kr
서귀포시청소년상담복지센터,제주,,63590,제주특별자치도 서귀포시 일주동로 8643 3층,064-763-9191,064-763-9190,064-763-9192,http://www.seogwipo.go.kr/youths/counseling/index.htm
제주시청소년상담복지센터,제주,,63097,제주특별자치도 제주시 남녕로 39 3층,064-725-7999,064-725-3799,064-725-4799,www.제주시1388.한국
